"","place","room_type","price","neighbourhood_cleansed","minimum_nights"
"263","Antwerp","Entire home/apt",251,"Historisch Centrum",3
"264","Antwerp","Entire home/apt",266,"Historisch Centrum",1
"265","Antwerp","Entire home/apt",266,"Sint-Andries",1
"266","Antwerp","Private room",154,"Borgerhout Intra Muros Zuid",1
"267","Antwerp","Entire home/apt",36,"Zuid",2
"268","Antwerp","Entire home/apt",147,"Historisch Centrum",2
"269","Antwerp","Entire home/apt",275,"Oud - Berchem",1
"270","Antwerp","Private room",243,"Universiteitsbuurt",1
"271","Antwerp","Private room",194,"Brederode",2
"272","Antwerp","Entire home/apt",266,"Theaterbuurt-Meir",2
"273","Antwerp","Entire home/apt",214,"Stadspark",2
"274","Antwerp","Private room",162,"Harmonie",14
"275","Antwerp","Entire home/apt",83,"Haringrode",1
"276","Antwerp","Entire home/apt",185,"Borgerhout Intra Muros Zuid",1
"277","Antwerp","Private room",203,"Kiel",6
"278","Antwerp","Private room",217,"Harmonie",2
"279","Antwerp","Private room",106,"Amandus - Atheneum",2
"280","Antwerp","Entire home/apt",240,"Historisch Centrum",2
"281","Antwerp","Private room",182,"Borgerhout Extra Muros",1
"282","Antwerp","Private room",131,"Ekeren Centrum",1
"283","Antwerp","Entire home/apt",272,"Zuid",2
"284","Antwerp","Entire home/apt",194,"Zurenborg",2
"285","Antwerp","Private room",162,"Amandus - Atheneum",2
"286","Antwerp","Entire home/apt",293,"Eilandje",1
"287","Antwerp","Entire home/apt",259,"Harmonie",2
"288","Antwerp","Entire home/apt",223,"Stadspark",2
"289","Antwerp","Entire home/apt",225,"Universiteitsbuurt",1
"290","Antwerp","Entire home/apt",225,"Amandus - Atheneum",1
"291","Antwerp","Private room",243,"Borgerhout Intra Muros Zuid",2
"292","Antwerp","Entire home/apt",225,"Amandus - Atheneum",1
"293","Antwerp","Entire home/apt",275,"Theaterbuurt-Meir",1
"294","Antwerp","Entire home/apt",183,"Oud - Berchem",2
"295","Antwerp","Entire home/apt",14,"Deurne Zuid West",1
"296","Antwerp","Entire home/apt",259,"Stadspark",3
"297","Antwerp","Entire home/apt",204,"Polder",2
"298","Antwerp","Entire home/apt",266,"Zuid",2
"299","Antwerp","Entire home/apt",243,"Historisch Centrum",1
"300","Antwerp","Entire home/apt",232,"Stuivenberg",2
"301","Antwerp","Entire home/apt",299,"Zuid",2
"302","Antwerp","Entire home/apt",56,"Zuid",3
"303","Antwerp","Entire home/apt",281,"Theaterbuurt-Meir",1
"304","Antwerp","Entire home/apt",272,"Centraal Station",1
"305","Antwerp","Entire home/apt",266,"Oud - Berchem",2
"306","Antwerp","Entire home/apt",262,"Zuid",2
"307","Antwerp","Entire home/apt",275,"Sint-Andries",14
"308","Antwerp","Entire home/apt",256,"Zuid",2
"309","Antwerp","Entire home/apt",14,"Zuid",2
"310","Antwerp","Entire home/apt",249,"Amandus - Atheneum",2
"311","Antwerp","Entire home/apt",249,"Zurenborg",3
"312","Antwerp","Entire home/apt",60,"Historisch Centrum",1
"313","Antwerp","Private room",106,"Stuivenberg",1
"314","Antwerp","Entire home/apt",262,"Markgrave",2
"315","Antwerp","Private room",162,"Eilandje",30
"316","Antwerp","Entire home/apt",113,"Universiteitsbuurt",1
"317","Antwerp","Entire home/apt",295,"Historisch Centrum",1
"318","Antwerp","Entire home/apt",266,"Zuid",2
"319","Antwerp","Entire home/apt",275,"Markgrave",2
"320","Antwerp","Private room",225,"Amandus - Atheneum",2
"321","Antwerp","Entire home/apt",248,"Rivierenhof",2
"322","Antwerp","Private room",23,"Ekeren Centrum",1
"323","Antwerp","Private room",72,"Harmonie",7
"324","Antwerp","Entire home/apt",247,"Amandus - Atheneum",2
"325","Antwerp","Entire home/apt",19,"Theaterbuurt-Meir",5
"326","Antwerp","Entire home/apt",238,"Amandus - Atheneum",2
"327","Antwerp","Private room",275,"Historisch Centrum",1
"328","Antwerp","Entire home/apt",159,"Zuid",1
"329","Antwerp","Entire home/apt",121,"Historisch Centrum",1
"330","Antwerp","Private room",138,"Amandus - Atheneum",2
"331","Antwerp","Entire home/apt",259,"Theaterbuurt-Meir",21
"332","Antwerp","Entire home/apt",295,"Borgerhout Extra Muros",2
"333","Antwerp","Private room",138,"Harmonie",1
"334","Antwerp","Entire home/apt",14,"Eilandje",1
"335","Antwerp","Entire home/apt",162,"Merksem - Heide",1
"336","Antwerp","Entire home/apt",196,"Deurne Dorp - Gallifort",1
"337","Antwerp","Entire home/apt",249,"Theaterbuurt-Meir",2
"338","Antwerp","Private room",178,"Universiteitsbuurt",1
"339","Antwerp","Private room",178,"Universiteitsbuurt",1
"340","Antwerp","Entire home/apt",289,"Stadspark",5
"341","Antwerp","Entire home/apt",178,"Stadspark",3
"342","Antwerp","Entire home/apt",234,"Universiteitsbuurt",1
"343","Antwerp","Shared room",212,"Oud - Berchem",1
"344","Antwerp","Private room",243,"Oud - Berchem",1
"345","Antwerp","Entire home/apt",259,"Universiteitsbuurt",2
"346","Antwerp","Private room",178,"Universiteitsbuurt",1
"347","Antwerp","Private room",185,"Universiteitsbuurt",1
"348","Antwerp","Entire home/apt",71,"Historisch Centrum",2
"349","Antwerp","Entire home/apt",266,"Zuid",1
"350","Antwerp","Entire home/apt",214,"Nieuw - Kwartier West",3
"351","Antwerp","Entire home/apt",271,"Theaterbuurt-Meir",2
"352","Antwerp","Hotel room",249,"Universiteitsbuurt",1
"353","Antwerp","Entire home/apt",73,"Amandus - Atheneum",2
"354","Antwerp","Entire home/apt",240,"Borgerhout Intra Muros Zuid",2
"355","Antwerp","Private room",138,"Stuivenberg",1
"356","Antwerp","Entire home/apt",36,"Eilandje",2
"357","Antwerp","Entire home/apt",266,"Historisch Centrum",2
"358","Antwerp","Entire home/apt",259,"Merksem - Heide",1
"359","Antwerp","Private room",154,"Universiteitsbuurt",1
"360","Antwerp","Entire home/apt",71,"Amandus - Atheneum",2
"361","Antwerp","Entire home/apt",46,"Borgerhout Intra Muros Zuid",2
"362","Antwerp","Private room",221,"Universiteitsbuurt",3
"363","Antwerp","Entire home/apt",44,"Borgerhout Intra Muros Zuid",2
"364","Antwerp","Private room",25,"Borgerhout Intra Muros Zuid",10
"365","Antwerp","Entire home/apt",225,"Dam",3
"366","Antwerp","Private room",243,"Universiteitsbuurt",1
"367","Antwerp","Private room",243,"Historisch Centrum",1
"368","Antwerp","Entire home/apt",66,"Eilandje",2
"369","Antwerp","Entire home/apt",281,"Harmonie",2
"370","Antwerp","Entire home/apt",69,"Historisch Centrum",2
"371","Antwerp","Entire home/apt",203,"Brederode",2
"372","Antwerp","Shared room",196,"Oud - Berchem",1
"373","Antwerp","Entire home/apt",73,"Zuid",30
"374","Antwerp","Private room",162,"Historisch Centrum",1
"375","Antwerp","Entire home/apt",241,"Brederode",2
"376","Antwerp","Entire home/apt",253,"Zuid",1
"377","Antwerp","Entire home/apt",243,"Historisch Centrum",1
"378","Antwerp","Entire home/apt",243,"Historisch Centrum",1
